Item Number,Context
7.2.2,"A desclassiﬁcação será sempre fundamentada e registrada no sistema, com acompanhamento em tempo real por todos os par Ɵcipantes."
7.2.3,"A não desclassiﬁcação da proposta não impede o seu julgamento deﬁni Ɵvo em sen Ɵdo contrário, levado a efeito na fase de aceitação."
7.3,"O sistema ordenará automa Ɵcamente as propostas classiﬁcadas, sendo que somente estas par Ɵciparão da fase de lances."
7.4,O sistema disponibilizará campo próprio para troca de mensagens entre o Pregoeiro e os licitantes.
7.5,"Iniciada a etapa compe ƟƟva, os licitantes deverão encaminhar lances exclusivamente por meio de sistema eletrônico, sendo imediatamente informados do seu"
7.5.1,O lance deverá ser ofertado pelo valor total de cada grupo de itens.
7.6,"Os licitantes poderão oferecer lances sucessivos, observando o horário ﬁxado para abertura da sessão e as regras estabelecidas no Edital."
7.7,O licitante somente poderá oferecer lance de valor inferior ou percentual de desconto superior ao úl Ɵmo por ele ofertado e registrado pelo sistema.
7.8,"O intervalo mínimo de diferença de valores ou percentuais entre os lances, que incidirá tanto em relação aos lances intermediários quanto em relação à"
7.9,"Será adotado para o envio de lances no pregão eletrônico o modo de disputa “aberto”, em que os licitantes apresentarão lances públicos e sucessivos, com"
7.10,"A etapa de lances da sessão pública terá duração de dez minutos e, após isso, será prorrogada automa Ɵcamente pelo sistema quando houver lance ofertado"
7.11,"A prorrogação automá Ɵca da etapa de lances, de que trata o item anterior, será de dois minutos e ocorrerá sucessivamente sempre que houver lances"
7.12,"Não havendo novos lances na forma estabelecida nos itens anteriores, a sessão pública encerrar-se-á automa Ɵcamente."
7.13,"Encerrada a fase compe ƟƟva sem que haja a prorrogação automá Ɵca pelo sistema, poderá o pregoeiro, assessorado pela equipe de apoio, jus Ɵﬁcadamente,"
7.14,"Não serão aceitos dois ou mais lances de mesmo valor, prevalecendo aquele que for recebido e registrado em primeiro lugar.SEI/ANS - 27143694 - Edital de Licitação https://sei.ans.gov.br/controlador.php?acao=documento_imprimir_w..."
7.16,"No caso de desconexão com o Pregoeiro, no decorrer da etapa compe ƟƟva do Pregão, o sistema eletrônico poderá permanecer acessível aos licitantes para a"
7.17,"Quando a desconexão do sistema eletrônico para o pregoeiro persis Ɵr por tempo superior a dez minutos, a sessão pública será suspensa e reiniciada somente"
7.18,"O critério de julgamento adotado será o menor preço, conforme deﬁnido neste Edital e seus anexos."
7.19,"Caso o licitante não apresente lances, concorrerá com o valor de sua proposta."
7.20,"Em relação a itens não exclusivos para par Ɵcipação de microempresas e empresas de pequeno porte, uma vez encerrada a etapa de lances, será efe Ɵvada a"
7.21,"Nessas condições, as propostas de microempresas e empresas de pequeno porte que se encontrarem na faixa de até 5% (cinco por cento) acima da melhor"
7.22,"A melhor classiﬁcada nos termos do item anterior terá o direito de encaminhar uma úl Ɵma oferta para desempate, obrigatoriamente em valor inferior ao da"
7.23,"Caso a microempresa ou a empresa de pequeno porte melhor classiﬁcada desista ou não se manifeste no prazo estabelecido, serão convocadas as demais"
7.24,No caso de equivalência dos valores apresentados pelas microempresas e empresas de pequeno porte que se encontrem nos intervalos estabelecidos nos
7.25,"Só poderá haver empate entre propostas iguais (não seguidas de lances), ou entre lances ﬁnais da fase fechada do modo de disputa aberto e fechado."
7.26,"Havendo eventual empate entre propostas ou lances, o critério de desempate será aquele previsto no art. 3º, § 2º, da Lei nº 8.666, de 1993, assegurando-se a"
7.26.1,por empresas brasileiras;
7.26.2,por empresas que invistam em pesquisa e no desenvolvimento de tecnologia no País;
7.26.3,por empresas que comprovem cumprimento de reserva de cargos prevista em lei para pessoa com deﬁciência ou para reabilitado da Previdência Social e
7.27,"Persis Ɵndo o empate, a proposta vencedora será sorteada pelo sistema eletrônico dentre as propostas ou os lances empatados."
7.28,"Encerrada a etapa de envio de lances da sessão pública, o pregoeiro deverá encaminhar, pelo sistema eletrônico, contraproposta ao licitante que tenha"
7.28.1,"A negociação será realizada por meio do sistema, podendo ser acompanhada pelos demais licitantes."
7.28.2,"O pregoeiro solicitará ao licitante melhor classiﬁcado que, no prazo de 2 (duas) horas, envie a proposta adequada ao úl Ɵmo lance ofertado após a"
7.28.3,"É facultado ao pregoeiro prorrogar o prazo estabelecido, a par Ɵr de solicitação fundamentada feita no chat pelo licitante, antes de ﬁndo o prazo."
7.29,"Após a negociação do preço, o Pregoeiro iniciará a fase de aceitação e julgamento da proposta."
8,DA ACEITABILIDADE DA PROPOSTA VENCEDORA.
8.1,"Encerrada a etapa de negociação, o pregoeiro examinará a proposta classiﬁcada em primeiro lugar quanto à adequação ao objeto e à compa Ɵbilidade do preço"
8.2,"A análise da exequibilidade da proposta de preços deverá ser realizada com o auxílio da Planilha de Custos e Formação de Preços, a ser preenchida pelo"
8.3,"A Planilha de Custos e Formação de Preços deverá ser encaminhada pelo licitante exclusivamente via sistema, no prazo de 2 (duas) horas, contado da"
8.4,A inexequibilidade dos valores referentes a itens isolados da Planilha de Custos e Formação de Preços não caracteriza mo Ɵvo suﬁciente para a desclassiﬁcação
8.5,"Será desclassiﬁcada a proposta ou o lance vencedor, nos termos do item 9.1 do Anexo VII-A da In SEGES/MP n. 5/2017, que:"
8.5.1,não es Ɵver em conformidade com os requisitos estabelecidos neste edital;
8.5.2,contenha vício insanável ou ilegalidade;
8.5.3,não apresente as especiﬁcações técnicas exigidas pelo Termo de Referência;
8.5.4,"apresentar preço ﬁnal superior ao preço máximo ﬁxado (Acórdão nº 1455/2018 -TCU - Plenário), percentual de desconto inferior ao mínimo exigido, ou"
8.5.4.1,"Quando o licitante não conseguir comprovar que possui ou possuirá recursos suﬁcientes para executar a contento o objeto, será considerada"
8.5.4.1.1,"for insuﬁciente para a cobertura dos custos da contratação, apresente preços global ou unitários simbólicos, irrisórios ou de valor zero,"
8.5.4.1.2,"um ou mais valores da planilha de custo que sejam inferiores àqueles ﬁxados em instrumentos de caráter norma Ɵvo obrigatório, tais como"
8.6,"Se houver indícios de inexequibilidade da proposta de preço, ou em caso da necessidade de esclarecimentos complementares, poderão ser efetuadas"
8.7,"Quando o licitante apresentar preço ﬁnal inferior a 30% (trinta por cento) da média dos preços ofertados para o mesmo item, e a inexequibilidade da proposta"
8.8,"Qualquer interessado poderá requerer que se realizem diligências para aferir a exequibilidade e a legalidade das propostas, devendo apresentar as provas ou"
8.8.1,"Na hipótese de necessidade de suspensão da sessão pública para a realização de diligências, com vistas ao saneamento das propostas, a sessão pública"
8.9.1,"É facultado ao pregoeiro prorrogar o prazo estabelecido, a par Ɵr de solicitação fundamentada feita no chat pelo licitante, antes de ﬁndo o prazo"
8.9.2,"Dentre os documentos passíveis de solicitação pelo Pregoeiro, destacam-se as planilhas de custo readequadas com o valor ﬁnal ofertado."
8.10,Todos os dados informados pelo licitante em sua planilha deverão reﬂe Ɵr com ﬁdelidade os custos especiﬁcados e a margem de lucro pretendida.
8.11,O Pregoeiro analisará a compa Ɵbilidade dos preços unitários apresentados na Planilha de Custos e Formação de Preços com aqueles pra Ɵcados no mercado em
8.12,"Erros no preenchimento da planilha não cons Ɵtuem moƟvo para a desclassiﬁcação da proposta. A planilha poderá ser ajustada pelo licitante, no prazo indicado"
8.12.1,O ajuste de que trata este disposi Ɵvo se limita a sanar erros ou falhas que não alterem a substância das propostas;
8.12.2,Considera-se erro no preenchimento da planilha passível de correção a indicação de recolhimento de impostos e contribuições na forma do Simples
8.13,"Para ﬁns de análise da proposta quanto ao cumprimento das especiﬁcações do objeto, poderá ser colhida a manifestação escrita do setor requisitante do"
8.14,"Se a proposta ou lance vencedor for desclassiﬁcado, o Pregoeiro examinará a proposta ou lance subsequente, e, assim sucessivamente, na ordem de"
8.15,"Havendo necessidade, o Pregoeiro suspenderá a sessão, informando no “chat” a nova data e horário para sua con Ɵnuidade."
8.16,"Nos itens não exclusivos para a par Ɵcipação de microempresas e empresas de pequeno porte, sempre que a proposta não for aceita, e antes de o Pregoeiro"
8.17,"Encerrada a análise quanto à aceitação da proposta, o pregoeiro veriﬁcará a habilitação do licitante, observado o disposto neste Edital."
9,DA HABILITAÇÃO
9.1,"Como condição prévia ao exame da documentação de habilitação do licitante detentor da proposta classiﬁcada em primeiro lugar, o Pregoeiro veriﬁcará o"
9.1.1,"Para a consulta de licitantes pessoa jurídica poderá haver a subs Ɵtuição das consultas das alíneas “b”, “c” e “d” acima pela Consulta Consolidada de"
9.1.2,"A consulta aos cadastros será realizada em nome da empresa licitante e também de seu sócio majoritário, por força do ar Ɵgo 12 da Lei n° 8.429, de"
9.1.2.1,"Caso conste na Consulta de Situação do Fornecedor a existência de Ocorrências Impedi Ɵvas Indiretas, o gestor diligenciará para veriﬁcar se"
9.1.2.1.1,"A tenta Ɵva de burla será veriﬁcada por meio dos vínculos societários, linhas de fornecimento similares, dentre outros."
9.1.2.1.2,O licitante será convocado para manifestação previamente à sua desclassiﬁcação.
9.1.3,"Constatada a existência de sanção, o Pregoeiro reputará o licitante inabilitado, por falta de condição de par Ɵcipação."
9.1.4,"No caso de inabilitação, haverá nova veriﬁcação, pelo sistema, da eventual ocorrência do empate ﬁcto, previsto nos arts. 44 e 45 da Lei Complementar nº 123,"
9.2,"Caso atendidas as condições de par Ɵcipação, a habilitação dos licitantes será veriﬁcada por meio do SICAF, nos documentos por ele abrangidos, em relação à"
9.2.1,"O interessado, para efeitos de habilitação prevista na Instrução Norma Ɵva SEGES/MP nº 03, de 2018 mediante u Ɵlização do sistema, deverá atender às"
9.2.2,"É dever do licitante atualizar previamente as comprovações constantes do SICAF para que estejam vigentes na data da abertura da sessão pública, ou"
9.2.3,"O descumprimento do subitem acima implicará a inabilitação do licitante, exceto se a consulta aos sí Ɵos eletrônicos oﬁciais emissores de cer Ɵdões feita"
9.3,"Havendo a necessidade de envio de documentos de habilitação complementares, necessários à conﬁrmação daqueles exigidos neste Edital e já"
9.4,Somente haverá a necessidade de comprovação do preenchimento de requisitos mediante apresentação dos documentos originais não-digitais quando houver
9.5,"Não serão aceitos documentos de habilitação com indicação de CNPJ/CPF diferentes, salvo aqueles legalmente permi Ɵdos."
9.6,"Se o licitante for a matriz, todos os documentos deverão estar em nome da matriz, e se o licitante for a ﬁlial, todos os documentos deverão estar em nome da"
9.6.1,"Serão aceitos registros de CNPJ de licitante matriz e ﬁlial com diferenças de números de documentos per Ɵnentes ao CND e ao CRF/FGTS, quando for"
9.7,"Ressalvado o disposto no item 5.3, os licitantes deverão encaminhar, nos termos deste Edital, a documentação relacionada nos itens a seguir, para ﬁns de"
9.8,Habilitação jurídica:
9.8.1,"no caso de empresário individual, inscrição no Registro Público de Empresas Mercan Ɵs, a cargo da Junta Comercial da respec Ɵva sede;"
9.8.2,"Em se tratando de Microempreendedor Individual – MEI: Cer Ɵﬁcado da Condição de Microempreendedor Individual - CCMEI, cuja aceitação ﬁcará"
9.8.3,"No caso de sociedade empresária ou empresa individual de responsabilidade limitada - EIRELI: ato cons ƟtuƟvo, estatuto ou contrato social em vigor,"
9.8.4,"inscrição no Registro Público de Empresas Mercan Ɵs onde opera, com averbação no Registro onde tem sede a matriz, no caso de ser o par ƟcipanteSEI/ANS - 27143694 - Edital de Licitação https://sei.ans.gov.br/controlador.php?acao=documento_imprimir_w..."
9.8.5,"No caso de sociedade simples: inscrição do ato cons ƟtuƟvo no Registro Civil das Pessoas Jurídicas do local de sua sede, acompanhada de prova da"
9.8.6,"decreto de autorização, em se tratando de sociedade empresária estrangeira em funcionamento no País;"
9.8.7,Os documentos acima deverão estar acompanhados de todas as alterações ou da consolidação respec Ɵva.
9.9,Regularidade ﬁscal e trabalhista:
9.9.1,"prova de inscrição no Cadastro Nacional de Pessoas Jurídicas ou no Cadastro de Pessoas Físicas, conforme o caso;"
9.9.2,"prova de regularidade ﬁscal perante a Fazenda Nacional, mediante apresentação de cer Ɵdão expedida conjuntamente pela Secretaria da Receita Federal"
9.9.3,prova de regularidade com o Fundo de Garan Ɵa do Tempo de Serviço (FGTS);
9.9.4,"prova de inexistência de débitos inadimplidos perante a Jus Ɵça do Trabalho, mediante a apresentação de cer Ɵdão nega Ɵva ou posi Ɵva com efeito de"
9.9.5,"prova de inscrição no cadastro de contribuintes municipal, rela Ɵvo ao domicílio ou sede do licitante, per Ɵnente ao seu ramo de a Ɵvidade e compa ơvel"
9.9.6,"prova de regularidade com a Fazenda Estadual do domicílio ou sede do licitante, rela Ɵva à aƟvidade em cujo exercício contrata ou concorre;"
9.9.7,"caso o licitante seja considerado isento dos tributos estaduais relacionados ao objeto licitatório, deverá comprovar tal condição mediante a apresentação"
9.9.8,"Quando se tratar da subcontratação prevista no art. 48, II, da Lei Complementar n. 123, de 2006, a licitante melhor classiﬁcada deverá, também,"
9.10,Qualiﬁcação Econômico-Financeira:
9.10.1,cer Ɵdão negaƟva de falência expedida pelo distribuidor da sede do licitante;
9.10.2,"balanço patrimonial e demonstrações contábeis do úl Ɵmo exercício social, já exigíveis e apresentados na forma da lei, que comprovem a boa situação"
9.10.2.1,"no caso de empresa cons Ɵtuída no exercício social vigente, admite-se a apresentação de balanço patrimonial e demonstrações contábeis referentes"
9.10.2.2,"é admissível o balanço intermediário, se decorrer de lei ou contrato/estatuto social."
9.10.3,"comprovação da boa situação ﬁnanceira da empresa mediante obtenção de índices de Liquidez Geral (LG), Solvência Geral (SG) e Liquidez Corrente (LC),"
9.10.4,"As empresas que apresentarem resultado inferior ou igual a 1 (um) em qualquer dos índices de Liquidez Geral (LG), Solvência Geral (SG) e Liquidez Corrente"
9.11,Qualiﬁcação Técnica:
9.11.1,"Comprovação de ap Ɵdão para a prestação dos serviços em caracterís Ɵcas, quan Ɵdades e prazos compa ơveis com o objeto desta licitação, mediante a"
9.11.1.1,"Para ﬁns da comprovação de que trata este subitem, os atestados deverão dizer respeito a serviços executados com as seguintes caracterís Ɵcas"
9.11.1.1.1,"Grupo 1: Atestados de capacidade técnica emi Ɵdos por pessoa jurídica de direito público ou privado, nacionais ou internacionais (em"
9.11.1.1.2,"Grupo 1: Atestados de capacidade técnica emi Ɵdos por pessoas jurídicas de direito público ou privado, nacionais ou internacionais (em"
9.11.1.1.3,"Grupo 2: Atestados de capacidade técnica emi Ɵdos por pessoa jurídica de direito público ou privado, nacionais ou internacionais (em"
9.11.2,Os atestados deverão referir-se a serviços prestados no âmbito de sua a Ɵvidade econômica principal ou secundária especiﬁcadas no contrato social
9.11.3,Os atestados de capacidade técnica podem ser apresentados em nome da matriz ou da ﬁlial da empresa licitante.
9.11.4,"Somente serão aceitos atestados expedidos após a conclusão do contrato ou se decorrido, pelo menos, um ano do início de sua execução, exceto se"
9.11.5,"Poderá ser admi Ɵda, para ﬁns de comprovação de quan ƟtaƟvo mínimo do serviço, a apresentação de diferentes atestados de serviços executados de"
9.11.6,"O licitante disponibilizará todas as informações necessárias à comprovação da legi Ɵmidade dos atestados apresentados, apresentando, dentre outros"
9.12,O licitante enquadrado como microempreendedor individual que pretenda auferir os bene İcios do tratamento diferenciado previstos na Lei Complementar n.
9.13.1,A declaração do vencedor acontecerá no momento imediatamente posterior à fase de habilitação.
9.14,"Caso a proposta mais vantajosa seja ofertada por licitante qualiﬁcada como microempresa, empresa de pequeno porte ou sociedade coopera Ɵva equiparada, e"
9.15,"A não regularização ﬁscal e trabalhista no prazo previsto no subitem anterior acarretará a inabilitação do licitante, sem prejuízo das sanções previstas neste"
9.16,"Havendo necessidade de analisar minuciosamente os documentos exigidos, o Pregoeiro suspenderá a sessão, informando no “chat” a nova data e horário para"
9.17,"Será inabilitado o licitante que não comprovar sua habilitação, seja por não apresentar quaisquer dos documentos exigidos para tanto, ou apresentá-los em"
9.18,"Nos itens não exclusivos a microempresas e empresas de pequeno porte, em havendo inabilitação, haverá nova veriﬁcação, pelo sistema, da eventual"
9.19,"Constatado o atendimento às exigências de habilitação ﬁxadas no Edital, o licitante será declarado vencedor."
10,DA AMOSTRA DO OBJETO
10.1,"O licitante detentor da proposta classiﬁcada em primeiro lugar, que atender a todos os requisitos de habilitação, será convocado para apresentar a amostra do"
10.2,"Após a convocação, o licitante provisoriamente classiﬁcado em primeiro lugar, no prazo de 48 (quarenta e oito) horas, deverá acessar reunião via"
10.3,"Todo o processo será gravado para posterior análise, se necessário, e no prazo de até 3 (três) dias úteis será apresentado no chat breve resumo do resultado da"
10.4,A veriﬁcação da amostra do objeto visa à aferição da real capacidade da Solução Tecnológica ofertada pelo licitante e será realizada conforme descrito no
10.5,No caso de se veriﬁcar que a amostra apresentada pelo licitante ofertante do melhor lance não atende às especiﬁcações técnicas deﬁnidas no Termo de
11,DO ENCAMINHAMENTO DA PROPOSTA VENCEDORA
11.1,"A proposta ﬁnal do licitante declarado vencedor deverá ser encaminhada no prazo de 02 (duas) horas, a contar da solicitação do Pregoeiro no sistema"
11.1.1,"ser redigida em língua portuguesa, da Ɵlografada ou digitada, em uma via, sem emendas, rasuras, entrelinhas ou ressalvas, devendo a úl Ɵma folha ser"
11.1.2,"apresentar a planilha de custos e formação de preços, devidamente ajustada ao lance vencedor, em conformidade com o modelo anexo a este"
11.1.3,"conter a indicação do banco, número da conta e agência do licitante vencedor, para ﬁns de pagamento."
11.2,A proposta ﬁnal deverá ser documentada nos autos e será levada em consideração no decorrer da execução do contrato e aplicação de eventual sanção à
11.2.1,Todas as especiﬁcações do objeto con Ɵdas na proposta vinculam a Contratada.
11.3,"Os preços deverão ser expressos em moeda corrente nacional, o valor unitário em algarismos e o valor global em algarismos e por extenso (art. 5º da Lei nº"
11.3.1,"Ocorrendo divergência entre os preços unitários e o preço global, prevalecerão os primeiros; no caso de divergência entre os valores numéricos e os"
11.4,"A oferta deverá ser ﬁrme e precisa, limitada, rigorosamente, ao objeto deste Edital, sem conter alterna Ɵvas de preço ou de qualquer outra condição que induza"
11.5,"A proposta deverá obedecer aos termos deste Edital e seus Anexos, não sendo considerada aquela que não corresponda às especiﬁcações ali con Ɵdas ou que"
11.6,"As propostas que contenham a descrição do objeto, o valor e os documentos complementares estarão disponíveis na internet, após a homologação."
12,DOS RECURSOS
12.1,"O Pregoeiro declarará o vencedor e, depois de decorrida a fase de regularização ﬁscal e trabalhista de microempresa ou empresa de pequeno porte, se for o"
12.2,"Havendo quem se manifeste, caberá ao Pregoeiro veriﬁcar a tempes Ɵvidade e a existência de mo Ɵvação da intenção de recorrer, para decidir se admite ou não"
12.2.1,"Nesse momento o Pregoeiro não adentrará no mérito recursal, mas apenas veriﬁcará as condições de admissibilidade do recurso."
12.2.2,A falta de manifestação mo Ɵvada do licitante quanto à intenção de recorrer importará a decadência desse direito.
12.2.3,"Uma vez admi Ɵdo o recurso, o recorrente terá, a par Ɵr de então, o prazo de três dias para apresentar as razões, pelo sistema eletrônico, ﬁcando os demais"
12.3,O acolhimento do recurso invalida tão somente os atos insusce ơveis de aproveitamento.
12.4,"Os autos do processo permanecerão com vista franqueada aos interessados, no endereço constante neste Edital."
13,DA REABERTURA DA SESSÃO PÚBLICA
13.1,A sessão pública poderá ser reaberta:
13.1.1,Nas hipóteses de provimento de recurso que leve à anulação de atos anteriores à realização da sessão pública precedente ou em que seja anulada a
13.2,Todos os licitantes remanescentes deverão ser convocados para acompanhar a sessão reaberta.
13.2.1,A convocação se dará por meio do sistema eletrônico (“chat”) ou e-mail de acordo com a fase do procedimento licitatório.
13.2.2,"A convocação feita por e-mail dar-se-á de acordo com os dados con Ɵdos no SICAF, sendo responsabilidade do licitante manter seus dados cadastrais"
14,DA ADJUDICAÇÃO E HOMOLOGAÇÃO
