Questions,Security Compliance Attempts,Report Containing Feature,Evidence/Link
Ensure that Block new public ACLs and uploading public objects for the account is set to true,,,
Ensure that Remove public access granted through public ACLs for the account is enabled,,,
Ensure all S3 buckets employ encryption-at-rest,,,
Ensure all the expired SSL/TLS certificates stored in AWS IAM are removed,,,
Ensure automated backups are enabled for RDS database instances,,,
Ensure Deletion Protection is enabled for RDS DB Cluster,,,
Ensure Deletion Protection is enabled for RDS Database instances,,,
Ensure IAM Database Authentication is Enabled for the DB Cluster,,,
Ensure IAM Database Authentication is Enabled for the DB Instances,,,
Ensure AWS RDS Log Exports is enabled for DB Cluster,,,
Ensure AWS RDS Log Exports is enabled for DB Instances,,,
Ensure RDS Database Master username is not set to well-known/default,,,
Ensure VPC security group attached to RDS Database Instance does not allows Inbound traffic from ANY source IP,,,
Ensure that public access is not given to RDS Instance,,,
Ensure RDS DB Cluster are not present in public subnets,,,
Ensure Event Subscriptions for Instance Level Events is Enabled for DB Instances,,,
Ensure RDS Microsoft SQL instance enforces encrypted connections only,,,
Ensure RDS PostgreSQL instance enforces encrypted connections only,,,
Ensure RDS PostgreSQL Cluster enforces encrypted connections only,,,
Ensure Encryption is enabled for the RDS DB Cluster,,,
Ensure RDS DB Cluster snapshots are encrypted,,,
Ensure CMK is used to protect RDS DB Cluster encryption key,,,
Ensure CMK is used to protect RDS Db Instance encryption key,,,
Ensure DB instance replication is set to the another Zone for High Availability,,,
Ensure DB Cluster replication is set to the another Zone for High Availability,,,
Ensure RDS database Cluster snapshots are not public,,,
Ensure Enhance monitoring is enabled for RDS Database Instance,,,
Ensure AWS RDS DB Cluster with copy tags to snapshots option is enabled,,,
Ensure AWS RDS instances with copy tags to snapshots option is enabled,,,
Ensure Event Subscriptions for cluster Level Events is Enabled for DB Clusters,,,
Ensure MYSQL DB Instance backup Binary logs configuration is not set to OFF,,,
Ensure backup configuration is enabled for MSSQL DB Instances,,,
Ensure that Lambda function has tracing enabled,,,
Ensure that Lambda Function is not using An IAM role for more than one Lambda Function,,,
Ensure that Multiple Triggers are not configured in $Latest Lambda Function,,,
Ensure that Lambda Runtime Version is latest and not custom,,,
Ensure that Lambda function does not have Admin Privileges,,,
Ensure that Lambda function does not have Cross Account Access,,,
Ensure that Lambda Environment Variables at-rest are encrypted with CMK,,,
Ensure that Lambda Environment Variables are encrypted using AWS encryption helpers for encryption in transit,,,
Ensure that Lambda function does not allows anonymous invocation,,,
Ensure that VPC access for Lambda Function is not set to default(Null),,,
Ensure that AWS Lambda excess Permissions are removed,,,
Ensure Version Upgrade is enabled for AWS Redshift clusters to automatically receive upgrades,,,
Ensure AWS Redshift clusters are not using default endpoint port,,,
Ensure AWS Redshift clusters are not publicly accessible,,,
Ensure AWS Redshift clusters master username is not set to well-known/default,,,
Ensure that AWS Redshift clusters encryption is set for data at rest,,,
Ensure audit logging is enabled for AWS Redshift clusters for security and troubleshooting purposes,,,
Ensure Images (AMIs) owned by an AWS account are not public,,,
Ensure that EBS Volumes attached to EC2 instances are encrypted,,,
Ensure that Unattached EBS Volumes are encrypted,,,
Ensure that RDS Instances certificates are rotated,,,
Ensure that DocumentDB Instances certificates are rotated,,,
Ensure no AWS default KMS Key is used to protect Secrets,,,
Ensure No CMK is marked for deletion,,,
Ensure only Root user of the AWS Account should be allowed full access on the CMK,,,
Permissions to delete key is not granted to any Principal other than the Root user of AWS Account,,,
Ensure CMK administrators are not the user of the key,,,
Ensure all Custom key stores are connected to their CloudHSM clusters,,,
Ensure that multiple triggers are not configured for Lambda Function Aliases,,,
Ensure AMIs owned by an AWS account are encrypted,,,
Ensure AWS EBS Volume snapshots are encrypted,,,
Ensure access log is enabled for Application load balancer,,,
Ensure access log is enabled for Classic Elastic load balancer,,,
Ensure Classic Elastic load balancer is not using unencrypted protocol,,,
Ensure Elastic load balancer listener is not using unencrypted protocol,,,
Ensure DocumentDB database cluster master username is not set to well-known/default,,,
Ensure backup retention is set to minimum of 7 days for DocumentDB clusters,,,
Ensure audit logs is enabled for Log export to CloudWatch for DocumentDB clusters,,,
Ensure deletion protection is enabled for DocumentDB clusters,,,
Ensure DocumentDB Cluster is not listening on default port,,,
Ensure multi-AZ high availability is enabled for neptune DB,,,
Ensure neptune DB is not listening on default port,,,
Ensure IAM DB authentication is enabled for neptune database,,,
Ensure backup retention is set to minimum of 7 days for neptune database,,,
Ensure Audit logs is enabled for log exports to cloudwatch for neptune database,,,
Ensure Auto minor version upgrade is enabled for neptune database,,,
Ensure deletion protection is enabled for neptune DB,,,
Ensure EFS Encryption is enabled for data at rest,,,
Ensure EFS File system resource is encrypted by KMS using a customer managed Key (CMK),,,
Ensure that AWS Elastic Block Store (EBS) volume snapshots are not public,,,
Ensure that AWS ElastiCache Memcached clusters are not associated with default VPC,,,
Ensure that AWS ElastiCache Redis clusters are not associated with default VPC,,,
Ensure that AWS ElastiCache redis clusters are not using their default endpoint ports,,,
Ensure that AWS ElastiCache memcached clusters are not using their default endpoint ports,,,
Ensure AWS ElastiCache Redis cluster with Multi-AZ Automatic Failover feature is set to enabled,,,
Ensure AWS ElastiCache Redis cluster with Redis AUTH feature is enabled,,,
Ensure that AWS ElastiCache Redis clusters are In-Transit encrypted,,,
Ensure that AWS ElastiCache Redis clusters are Data At-Rest encrypted,,,
Ensure that AWS ElastiCache Redis clusters are Data At-Rest encrypted with CMK,,,
Ensure node-to-node encryption feature is enabled for AWS Elasticsearch Service domains,,,
Ensure AWS Elasticsearch Service domains have enabled the support for publishing slow logs to AWS CloudWatch Logs,,,
Ensure AWS Elasticsearch Service domains are not publicly accessible,,,
Ensure AWS Elasticsearch Service domains are using the latest version of Elasticsearch engine,,,
Ensure that IAM Access analyzer is enabled for all regions,,,
Ensure no Network ACLs allow ingress from 0.0.0.0/0 to port 22,,,
Ensure AWS Route 53 Registered domain has Transfer lock enabled,,,
Ensure AWS Route 53 Registered domain has Auto renew Enabled,,,
Ensure AWS Route 53 Registered domain is not expired,,,
Ensure AWS Kinesis Data Firehose delivery stream with Direct PUT and other sources as source has Server-side encryption configured,,,
Ensure AWS Kinesis Data Firehose delivery stream with Kinesis Data stream as source has Server-side encryption configured,,,
Ensure AWS Kinesis Data Firehose delivery stream with Direct PUT and other sources as source has Server-side encryption configured with KMS Customer Managed Keys,,,
Ensure AWS Kinesis Data Firehose delivery stream with Kinesis Data stream as source has Server-side encryption configured with KMS Customer Managed Keys,,,
Ensure DynamoDB tables are encrypted using KMS Customer managed Keys,,,
Ensure no Network ACLs allow ingress from 0.0.0.0/0 to port 3389,,,
Ensure there is only one active access key available for any single IAM user,,,
Ensure a log metric filter and alarm exists for AWS Organizations changes,,,
Ensure DynamoDB tables are not configured using DEFAULT encryption,,,
Ensure that Customer managed KMS keys use external key material,,,
Ensure no Inline Policies are attached to IAM Users directly,,,
Ensure no Managed Policies are attached to IAM Users directly,,,
Ensure that Object-level logging for write events is enabled for S3 bucket,,,
Ensure that Object-level logging for read events is enabled for S3 bucket,,,
Ensure MFA is enabled in AWS Directory,,,
Ensure QLDB ledger has deletion protection enabled,,,
Ensure proper protocol is configured for Radius server in AWS Directory,,,
Ensure SNS Topics do not Allow Everyone to Publish,,,
Ensure SNS Topics do not Allow Everyone to Subscribe,,,
Ensure there are no Internet facing Application load balancers,,,
Ensure ALB using listener type HTTPS must have SSL Security Policy,,,
Ensure that ALB using listener type HTTP must be redirected to HTTPS,,,
Ensure that ALB listeners have HTTPS enabled Target Groups,,,
Ensure IncreaseVolumeSize is Disabled for Workspace directories in all regions,,,
Ensure Automated backup retention is set for Redshift Cluster,,,
Ensure Redshift Cluster is configured to require an SSL connection,,,
Ensure database audit logging is enabled for Redshift Cluster,,,
Ensure Redshift Cluster is encrypted with KMS key,,,
Ensure that NLB balancer listener is not using unencrypted protocol,,,
Ensure that Classic Elastic load balancer is not internet facing,,,
Ensure Classic Elastic Load balancer must have SSL Security Policy,,,
Ensure AWS VPC subnets have automatic public IP assignment disabled,,,
Ensure to encrypt the User Volumes and Root Volumes with the customer managed master keys for AWS WorkSpace,,,
Ensure Workspace directory must have a vpc endpoint so that the API traffic associated with the management of workspaces stays within the vpc,,,
Ensure not to setup access keys during initial user setup for all IAM users that have a console password except for the master account,,,
Ensure to log state machine execution history to CloudWatch Logs,,,
Ensure RDS Instance should not have an Interface open to a public scope,,,
Ensure to update the Security Policy of the Network Load Balancer,,,
Ensure EBS Volume is encrypted by KMS using a customer managed Key (CMK),,,
Ensure AWS EBS Volume snapshots are encrypted with KMS using a customer managed Key (CMK),,,
Ensure RestartWorkspace is Enabled for Directories in all regions,,,
Ensure that DocumentDB Cluster Snapshots are encrypted,,,
Ensure that DocumentDB Cluster Snapshots are not public,,,
Ensure WorkDocs is not enabled in Workspace Directories,,,
Ensure Access to Internet is not enabled in Workspace Directories,,,
Ensure Local Administrator setting is not enabled in Workspace Directories,,,
Ensure Maintenance Mode is not enabled in Workspace Directories,,,
Ensure Device Type Windows Access Control is allowed in Workspace Directories,,,
Ensure Device Type MacOS Access Control is allowed in Workspace Directories,,,
Ensure Device Type Web Access Control is allowed in Workspace Directories,,,
Ensure Device Type iOS Access Control is allowed in Workspace Directories,,,
Ensure Device Type Android Access Control is allowed in Workspace Directories,,,
Ensure Device Type ChromeOS Access Control is allowed in Workspace Directories,,,
Ensure Device Type ZeroClient Access Control is allowed in Workspace Directories,,,
Ensure neptune DB snapshots are encrypted,,,
Ensure neptune DB snapshots are not public,,,
Ensure ChangeComputeType is Disabled in all regions for Workspace Directories,,,
Ensure SwitchRunningMode is Disabled in all regions for Workspace Directories,,,
Ensure RebuildWorkspace is Disabled in all regions for Workspace Directories,,,
Ensure only AD Connector directory type is allowed for AWS Directories,,,
Ensure to enable the encryption of the Root volumes for Workspaces in all regions,,,
Ensure to enable the encryption of the User volumes for Workspaces in all regions,,,
Ensure Amazon API Gateway APIs are only accessible through private API endpoints in all regions,,,
Ensure to disable default route table association for Transit Gateways in all regions,,,
Ensure to disable default route table propagation for Transit Gateways in all regions,,,
Ensure to enable config for the all resources for Config Service,,,
Ensure to enable config for the global resources like IAM for Config Service,,,
Ensure to configure data retention period for the configuration items for Config Service,,,
Ensure to configure s3 buckets which contains details for the resources that Config records,,,
Ensure to configure certificate provider type to custom in EMR security configuration,,,
Ensure to enable data in transit encryption for EMR security configuration,,,
Ensure that all AWS Systems Manager (SSM) parameters are encrypted,,,
Ensure termination protection is enabled for EMR cluster,,,
Ensure ACM uses imported certificates only and does not create/issue certificates,,,
Ensure expired certificates are removed from AWS ACM,,,
Ensure ACM certificates should not have domain with wildcard(*),,,
Ensure that the certificate use appropriate algorithms and key size,,,
Ensure logging is not set to OFF for Rest APIs Stage in all regions,,,
Ensure to enable encryption if caching is enabled for Rest API Stage in all regions,,,
Ensure accessLogSettings exists with the destinationArn and in the json format for Rest API Stage in all regions,,,
Ensure there are no Internet facing Network load balancers,,,
Ensure NLB using listener type TLS must have SSL Security Policy,,,
Ensure that NLB listeners using TLS have TLS enabled Target Groups configured,,,
Ensure that NLB listeners using default insecure ports are not configured for passthrough,,,
Ensure AWS NLB logging is enabled,,,
Ensure AWS RDS instance is not open to a large scope,,,
Ensure QLDB ledger has encryption enabled using accessible Customer managed KMS key,,,
Ensure to encrypt the data in transit when using NFS between the client and EFS service,,,
Ensure that backup retention is set between 3 to 7 days for Aurora postgreSQL clusters,,,
Ensure MFA Delete is enabled on S3 buckets,,,
Ensure trail is configure on organization level,,,
Ensure status of the log_destination parameter for PostgreSQL instance is set to csvlog,,,
Ensure status of the log_rotation_age parameter for PostgreSQL instance is set to 60(minutes),,,
Ensure status of the log_connections parameter for PostgreSQL instance is set to ON(1),,,
Ensure status of the log_disconnections parameter for PostgreSQL instance is set to ON(1),,,
Ensure status of the log_hostname parameter for PostgreSQL instance is set to OFF(0),,,
Ensure status of the log_statement parameter for PostgreSQL instance is set to ddl or stricter,,,
Ensure status of the pgaudit.log parameter for PostgreSQL instance is set to appropriate value,,,
Ensure each trail includes the global services,,,
Ensure status of the log_destination parameter for Aurora PostgreSQL cluster is set to csvlog,,,
Ensure status of the log_rotation_age parameter for Aurora PostgreSQL cluster is set to 60(minutes),,,
Ensure status of the log_connections parameter for Aurora PostgreSQL cluster is set to ON(1),,,
Ensure status of the log_disconnections parameter for Aurora PostgreSQL cluster is set to ON(1),,,
Ensure status of the log_hostname parameter for Aurora PostgreSQL cluster is set to OFF(0),,,
Ensure status of the log_statement parameter for Aurora PostgreSQL cluster is set to ddl or stricter,,,
Ensure status of the pgaudit.log parameter for Aurora PostgreSQL cluster is set to appropriate value,,,
Ensure to log KMS events to the trail,,,
Ensure block public access is enabled so that no port should have public access for EMR clusters,,,
Ensure S3 Object Copy is encrypted by KMS using a customer managed Key (CMK),,,
Ensure Kinesis Stream is encrypted by KMS using a customer managed Key (CMK),,,
Ensure S3 bucket Object is encrypted by KMS using a customer managed Key (CMK),,,
Ensure Sagemaker domain is encrypted by KMS using a customer managed Key (CMK),,,
Ensure lustre file systems is encrypted by KMS using a customer managed Key (CMK),,,
Ensure Elasticache replication group is encrypted by KMS using a customer managed Key (CMK),,,
Ensure WAF prevents message lookup in Log4j2,,,
Ensure AppSync has Logging enabled,,,
Ensure AppSync has Field-Level logs enabled,,,
Ensure WAF2 has a Logging Configuration,,,
Ensure CloudFront distribution has a strict security headers policy attached,,,
Ensure all data stored in the Elasticsearch is securely encrypted at rest,,,
Ensure all data stored in the Launch configuration EBS is securely encrypted,,,
Ensure the S3 bucket does not allow READ permissions to everyone,,,
Ensure SageMaker Notebook is encrypted at rest using KMS CMK,,,
Ensure every security groups rule has a description,,,
Ensure SNS Topics have encryption at rest enabled,,,
Ensure SQS Queue have encryption at rest enabled,,,
Ensure Dynamodb point in time recovery (backup) is enabled,,,
Ensure ECR repository policy is not set to public,,,
Ensure Customer managed KMS key policy does not contain wildcard (*) principal,,,
Ensure Cloudfront distribution ViewerProtocolPolicy is set to HTTPS,,,
Ensure Amazon EKS control plane logging enabled for all log types,,,
Ensure Amazon EKS public endpoint not accessible to 0.0.0.0/0,,,
Ensure Amazon EKS public endpoint disabled,,,
Ensure no hard coded AWS access key and secret key exists in provider,,,
Ensure no hard-coded secrets exist in lambda environment,,,
Ensure no hard-coded secrets exist in EC2 user data,,,
Ensure DAX is encrypted at rest (default is unencrypted),,,
Ensure MQ Broker logging is enabled,,,
Ensure no IAM policies documents allow * as a statements actions,,,
Ensure ECR Image Tags are immutable,,,
Ensure the S3 bucket does not allow WRITE permissions to everyone,,,
Ensure EKS Cluster has Secrets Encryption Enabled,,,
Ensure there is no open access to back-end resources through API,,,
Ensure IAM role allows only specific services or principals to assume it,,,
Ensure AWS IAM policy does not allow assume role permission across all services,,,
Ensure no IAM policies documents allow * as a statements actions,,,
Ensure container insights are enabled on ECS cluster,,,
Ensure CloudWatch Log Group has a retention period set to 7 days or greater,,,
Ensure that CloudFront Distribution has WAF enabled,,,
Ensure MQ Broker is not publicly exposed,,,
Ensure S3 bucket does not allow an action with any Principal,,,
Ensure SQS policy does not allow ALL (*) actions.,,,
Ensure API Gateway has X-Ray Tracing enabled,,,
Ensure Global Accelerator has flow logs enabled,,,
Ensure Athena Database is encrypted at rest (default is unencrypted),,,
Ensure that CodeBuild Project encryption is not disabled,,,
Ensure Instance Metadata Service Version 2 is Enabled,,,
Ensure MSK Cluster logging is enabled,,,
Ensure MSK Cluster encryption at rest and in transit is enabled,,,
Ensure Athena Workgroups enforce configuration to prevent client disabling encryption,,,
Ensure Elasticsearch Domain enforces HTTPS,,,
Ensure Cloudfront distribution has Access Logging enabled,,,
Ensure that EC2 instance have no public IP,,,
Ensure that DMS replication instance is not publicly accessible,,,
Ensure DocDB TLS is not disabled,,,
Ensure S3 bucket policy does not lockout all but root user. (Prevent lockouts needing root account fixes),,,
Ensure Glue Data Catalog Encryption is enabled with SSE-KMS with customer-managed keys,,,
Ensure all data stored in Aurora is securely encrypted at rest,,,
Ensure all data stored in the Sagemaker Endpoint is securely encrypted at rest,,,
Ensure Glue Security Configuration Encryption is enabled,,,
Ensure Amazon EKS Node group has implict SSH access from 0.0.0.0/0,,,
Ensure Neptune Cluster instance is not publicly available,,,
Ensure that load balancer is using TLS 1.2 or above,,,
Ensure EBS default encryption is enabled with customer managed key,,,
Ensure Session Manager data is encrypted in transit,,,
Ensure Session Manager logs are enabled and encrypted,,,
Ensure that EMR clusters with Kerberos have Kerberos Realm set,,,
Ensure that AWS Lambda function is configured for function-level concurrent execution limit,,,
Ensure that AWS Lambda function is configured for a Dead Letter Queue(DLQ),,,
Ensure AppSync is protected by WAF,,,
Ensure that direct internet access is disabled for an Amazon SageMaker Notebook Instance,,,
Ensure that VPC Endpoint Service is configured for Manual Acceptance,,,
Ensure that CloudFormation stacks are sending event notifications to an SNS topic,,,
Ensure that detailed monitoring is enabled for EC2 instances,,,
Ensure that Elastic Load Balancers use SSL certificates provided by AWS Certificate Manager,,,
Ensure that an Amazon RDS Clusters have AWS Identity and Access Management (IAM) authentication enabled,,,
Ensure API Gateway V2 has Access Logging enabled,,,
Ensure that ALB drops HTTP headers,,,
Ensure Trail is configured to log Data events for s3 buckets,,,
Ensure that Amazon ElastiCache Redis clusters have automatic backup turned on,,,
Ensure that EC2 is EBS optimized,,,
Ensure that ECR repositories are encrypted using KMS,,,
Ensure that Elasticsearch is configured inside a VPC,,,
Ensure that ELB has cross-zone-load-balancing enabled,,,
Ensure that S3 bucket has lock configuration enabled by default,,,
Ensure that S3 bucket has cross-region replication enabled,,,
Ensure that S3 buckets are encrypted with KMS by default,,,
Ensure that CodeBuild projects are encrypted,,,
Ensure no default VPC is planned to be provisioned,,,
Ensure that Secrets Manager secret is encrypted using KMS using a customer managed Key (CMK),,,
Ensure that Load Balancer has deletion protection enabled,,,
Ensure that Load Balancer (Network/Gateway) has cross-zone load balancing enabled,,,
Ensure that Auto Scaling Groups supply tags to Launch Configurations,,,
Ensure Redshift is not deployed outside of a VPC,,,
Ensure that RDS instances have Multi-AZ enabled,,,
Ensure to encrypt CloudWatch log groups,,,
Ensure that Athena Workgroup is encrypted,,,
Ensure that Timestream database is encrypted with KMS CMK,,,
Ensure RDS database has IAM authentication enabled,,,
Ensure ECR image scanning on push is enabled,,,
Ensure Transfer Server is not exposed publicly.,,,
Ensure S3 bucket must not allow WRITE permission for server access logs from everyone on the bucket,,,
Ensure Backup Vault is encrypted at rest using KMS CMK,,,
Ensure Glacier Vault access policy is not public by only allowing specific services or principals to access it,,,
Ensure SQS queue policy is not public by only allowing specific services or principals to access it,,,
Ensure SNS topic policy is not public by only allowing specific services or principals to access it,,,
Ensure QLDB ledger permissions mode is set to STANDARD,,,
Ensure that EMR Cluster security configuration encryption is using SSE-KMS,,,
Ensure that all NACLs are attached to subnets,,,
Ensure GuardDuty is enabled to specific org/region,,,
Ensure API Gateway stage have logging level defined as appropriate and have metrics enabled,,,
Ensure that Security Groups are attached to an other resource,,,
Ensure that Amazon EMR clusters security groups are not open to the world,,,
Ensure that RDS clusters has backup plan of AWS Backup,,,
Ensure that EBS are added in the backup plans of AWS Backup,,,
Ensure the option group attached to the RDS Oracle Instance have TLSv1.2 and the required ciphers configured,,,
Ensure that IAM groups includes at least one IAM user,,,
Ensure that Auto Scaling Groups that are associated with a Load Balancer are using Elastic Load Balancing health checks,,,
Ensure that Auto Scaling is enabled on your DynamoDB tables,,,
Ensure that Elastic File System (Amazon EFS) file systems are added in the backup plans of AWS Backup,,,
Ensure that all EIP addresses allocated to a VPC are attached to EC2 instances,,,
Ensure that all IAM users are members of at least one IAM group.,,,
Ensure an IAM User does not have access to the console,,,
Route53 A Record has Attached Resource,,,
Ensure that PostgreSQL RDS instances have Query Logging enabled,,,
Ensure public facing ALB are protected by WAF,,,
Ensure all data stored in the RDS is securely encrypted at rest,,,
Ensure all data stored in the Elasticache Replication Group is securely encrypted at transit and has auth token,,,
Ensure that DocumentDB Clusters are encrypted with KMS using a customer managed Key (CMK),,,
Ensure that ssl_max_protocol_version parameter for Aurora PostgreSQL cluster is set to latest version,,,
Ensure that ssl_min_protocol_version parameter for Aurora PostgreSQL cluster is set to latest version,,,
Ensure that a log driver has been defined for each active Amazon ECS task definition,,,
Ensure that your Amazon Relational Database Service (RDS) instances have Storage AutoScaling feature enabled,,,
Ensure DocDB has audit logs enabled,,,
Ensure ALB protocol is HTTPS,,,
Ensure Postgres RDS as aws_rds_cluster has Query Logging enabled,,,
Ensure IAM policies that allow full administrative privileges are not created,,,
Ensure that S3 bucket has a Public Access block,,,
Ensure that AWS CloudFront distribution origins do not use insecure SSL protocols,,,
Ensure WAF has associated rules,,,
Ensure Logging is enabled for WAF Web Access Control Lists,,,
Ensure Image Builder component is encrypted by KMS using a customer managed Key (CMK),,,
Ensure FSX Windows file system is encrypted by KMS using a customer managed Key (CMK),,,
Ensure FSX ONTAP file system is encrypted by KMS using a customer managed Key (CMK),,,
Ensure Kinesis Video Stream is encrypted by KMS using a customer managed Key (CMK),,,
Ensure Amazon API Gateway REST APIs are protected by AWS WAF,,,
Ensure client-side SSL certificates are used for HTTP backend authentication in AWS API Gateway REST APIs,,,
Ensure that SSL certificates associated with API Gateway REST APIs are rotated periodically,,,
Ensure AWS CloudFront distributions use improved security policies for HTTPS connections,,,
Ensure the traffic between the AWS CloudFront distributions and their origins is encrypted,,,
Ensure your AWS Cloudfront distributions are using an origin access identity for their origin S3 buckets,,,
Ensure that your Amazon DynamoDB tables are using backup and restore,,,
Ensure EC2 Instances are using IAM Roles,,,
Ensure no backend EC2 instances are running in public subnets,,,
Ensure Performance Insights feature is enabled for your Amazon RDS database instances,,,
Ensure to encrypt data in transit for SNS topic,,,
Ensure unused AWS EC2 key pairs are decommissioned,,,
Ensure AWS SNS topics do not allow HTTP subscriptions,,,
Ensure that Elastic File System does not have the default access policy,,,
Ensure that the latest version of Memcached is used for AWS ElastiCache clusters,,,
Ensure that your Amazon Lambda functions are configured to use enhanced monitoring,,,
Ensure that Route 53 Hosted Zone has configured logging for DNS queries,,,
Ensure that DNSSEC Signing is enabled for Route 53 Hosted Zones,,,
Ensure that Route 53 domains have Privacy Protection enabled,,,
Ensure a loggroup is created to upload logs of datasync task to the cloudwatch log group,,,
Ensure to enable data integrity checks for only files transferred in datasync task,,,
Ensure that all your SSL/TLS IAM certificates are using 2048 or higher bit RSA keys,,,
Ensure to disable default endpoint for all the APIs,,,
Ensure that Microsoft AD directory forward domain controller security event logs to cloudwatch logs,,,
Ensure SQS queues uses KMS customer managed master key,,,
Ensure SQS queues are encrypted in transit,,,
Ensure to block public access to Amazon EFS file systems,,,
Ensure backtracking is enabled for AWS RDS cluster,,,
Ensure database retention is set to 7 days or more for AWS RDS cluster,,,
Ensure Aurora Serverless AutoPause is enabled for RDS cluster,,,
Ensure connection draining is enabled for AWS ELB,,,
Ensure Enhanced VPC routing should be enabled for AWS Redshift Clusters,,,
Ensure that content encoding is enabled for API Gateway Rest API,,,
Ensure to configure idle session timeout in all regions,,,
Ensure session logs for system manager are stored in CloudWatch log groups or S3 buckets,,,
Ensure session logs for system manager are stored in only Encrypted CloudWatch log groups or S3 buckets,,,
Ensure Block public sharing setting is ON for the documents in all regions,,,
Ensure stage caching is enabled for AWS API Gateway Method Settings,,,
Ensure transit encryption is enabled for EFS volumes in AWS ECS Task Definition,,,
Ensure to disable root access for all notebook instance users,,,
Ensure to enable inter-container traffic encryption for Processing jobs(if configured),,,
Ensure processing jobs(if configured) are running inside a VPC,,,
Ensure to enable network isolation for processing jobs(if configured),,,
Ensure ML storage volume attached to training jobs are encrypted,,,
Ensure ML storage volume attached to training jobs are encrypted with customer managed master key,,,
Ensure to encrypt the output of the training jobs in s3 with customer managed master key,,,
Ensure to enable inter-container traffic encryption for training jobs,,,
Ensure to enable network isolation for training jobs,,,
Ensure ML storage volume attached to Hyperparameter Tuning jobs are encrypted,,,
Ensure ML storage volume attached to Hyperparameter Tuning jobs (if configured) are encrypted with customer managed master key,,,
Ensure to encrypt the output of Hyperparameter tuning jobs in s3,,,
Ensure to encrypt the output of Hyperparameter tuning jobs(if configured) in s3 with customer managed master key,,,
Ensure to enable inter-container traffic encryption for Hyperparameter tuning jobs(if configured),,,
Ensure Hyperparameter tuning jobs(if configured) are running inside a VPC,,,
